,,中性,买入,增持,持有
民生银行,,,,1.0,
汇得科技,,,,1.0,
洛阳钼业,,,,1.0,
海康威视,,,,1.0,
海螺水泥,,,,1.0,
海辰药业,,,,1.0,
深圳燃气,,,,1.0,
深圳能源,,,,1.0,
温氏股份,,,,1.0,
爱柯迪,,,,1.0,
环旭电子,,,,1.0,
珠江钢琴,,,,1.0,
电连技术,,,,1.0,
盛和资源,,,,1.0,
福耀玻璃,,,,1.0,
紫金矿业,,,,1.0,
紫金银行,,,,1.0,
红宝丽,,,,1.0,
维格娜丝,,,,1.0,
绿茵生态,,,,1.0,
美亚柏科,,,,1.0,
美克家居,,,,1.0,
苏泊尔,,,,1.0,
英洛华,,,,1.0,
荣盛石化,,,,1.0,
药明康德,,,,1.0,
裕同科技,,,,1.0,
设研院,,,,1.0,
重庆燃气,,,,1.0,
金科股份,,,,1.0,
陆家嘴,,,,1.0,
高盟新材,,,,1.0,
鹏鼎控股,,,,1.0,
齐翔腾达,,,,1.0,
世纪空间,1.0,,,,
乐鑫科技,1.0,,,,
优刻得,1.0,,,,
传音控股,1.0,,,,
创鑫激光,2.0,,,,
利元亨,1.0,,,,
华兴源创,3.0,,,,
南微医学,1.0,,,,
复旦张江,1.0,,,,
天奈科技,2.0,,,,
威胜信息,1.0,,,,
微芯生物,1.0,,,,
恒安嘉新,2.0,,,,
晶丰明源,1.0,,,,
晶晨股份,1.0,,,,
永泰能源,,,,,1.0
浦东建设,1.0,,,,
浪潮信息,,,,,1.0
海尔生物,1.0,,,,
澜起科技,1.0,,,,
福光股份,1.0,,,,
紫晶存储,2.0,,,,
美迪西,1.0,,,,
聚辰股份,1.0,,,,
苑东生物,1.0,,,,
鸿泉物联,1.0,,,,
龙软科技,2.0,,,,
